0,1,2,3,4
01,01_Lomé.Nekketsu_23.01.23_matin_BI,"('p', 'B*')","('p', 'T+')","('f', 'T+')"
02,02_Lips.Pipo_25.01.23_matin_UNI,"('f', 'B*')","('f', 'B*')","('f', 'T+')"
03,03_Bobo.Mako_26.01.23_matin_UNI,"('p', 'L*')","('p', 'B*')","('p', 'T+')","('f', 'B*')"
04,04_Angèle.Violette_26.01.23_matin_UNI,"('f', 'B*')","('f', 'L*')","('f', 'T+')","('f', 'T+')"
05,05_Bobo.Muse_30.01.23_matin_UNI,"('p', 'L*')","('p', 'T+')","('p', 'T+')"
06,06_Bobo.Muse_30.01.23_aprem_UNI,"('p', 'L*')","('p', 'T+')","('p', 'T+')","('f', 'B*')"
07,07_Fana.Petoulette_31.01.23_matin_UNI,"('p', 'L*')","('p', 'L*')","('p', 'T+')","('p', 'T+')"
08,08_Petoulette.Pipo_01.02.23_matin.UNI,"('f', 'L*')","('f', 'T+')","('f', 'T+')"
09,09_Nekketsu.Feya_15.03.23_aprem_UNI,"('f', 'L*')","('f', 'T+')","('f', 'T+')"
10,10_Fana.Mali_15.03.23_aprem_UNI,"('p', 'L*')","('p', 'B*')","('p', 'T+')"
