0,1,2,3,4
01,01_Lomé.Nekketsu_23.01.23_matin_BI,"('i', 'cB')","('i', 'Ce')","('f', 'Ce')"
02,02_Lips.Pipo_25.01.23_matin_UNI,"('f', 'ct')","('f', 'cr')","('f', 'Cg')"
03,03_Bobo.Mako_26.01.23_matin_UNI,"('i', 'ca')","('i', 'cl')","('i', 'Cg')","('f', 'ct')"
04,04_Angèle.Violette_26.01.23_matin_UNI,"('f', 'cK')","('f', 'ca')","('f', 'cq')","('f', 'Cg')"
05,05_Bobo.Muse_30.01.23_matin_UNI,"('i', 'ca')","('i', 'cq')","('i', 'Cg')"
06,06_Bobo.Muse_30.01.23_aprem_UNI,"('i', 'ca')","('i', 'cq')","('i', 'Cg')","('f', 'ct')"
07,07_Fana.Petoulette_31.01.23_matin_UNI,"('i', 'cm')","('i', 'ca')","('i', 'cq')","('i', 'Cg')"
08,08_Petoulette.Pipo_01.02.23_matin.UNI,"('f', 'ca')","('f', 'cq')","('f', 'Cc')"
09,09_Nekketsu.Feya_15.03.23_aprem_UNI,"('f', 'ca')","('f', 'Cg')","('f', 'cq')"
10,10_Fana.Mali_15.03.23_aprem_UNI,"('i', 'ca')","('i', 'cl')","('i', 'Cg')"
