,index,File name,Focal,Individual,Total States,Len States Focal,Percentage of Focal States,Len States Individual,Percentage of Individual States,Number Overlaps,Percentage of Overlap,nb inter-indiv overlap,percentage of inter-indiv overlap,nb intra overlap focal,percentage of intra overlap focal,nb intra overlap other,percentage of intra overlap other,nb intra-indiv overlap for both,percentage of intra overlap for both
0,1,DATA/Merged Interactions/01_Lomé.Nekketsu_23.01.23_matin_BI,Lomé,Nekketsu,5,1,0.2,4,0.8,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0
1,2,DATA/Merged Interactions/02_Lips.Pipo_25.01.23_matin_UNI,Lips,Pipo,5,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,3,DATA/Merged Interactions/03_Bobo.Mako_26.01.23_matin_UNI,Bobo,Mako,7,1,0.14285714285714285,5,0.7142857142857143,1,0.14285714285714285,1,0.14285714285714285,0,0.0,0,0.0,0,0.0
3,4,DATA/Merged Interactions/04_Angèle.Violette_26.01.23_matin_UNI,Angèle,Violette,7,4,0.5714285714285714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,5,DATA/Merged Interactions/05_Bobo.Muse_30.01.23_matin_UNI,Bobo,Muse,5,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,6,DATA/Merged Interactions/06_Bobo.Muse_30.01.23_aprem_UNI,Bobo,Muse,7,1,0.14285714285714285,5,0.7142857142857143,1,0.14285714285714285,1,0.14285714285714285,0,0.0,0,0.0,0,0.0
6,7,DATA/Merged Interactions/07_Fana.Petoulette_31.01.23_matin_UNI,Fana,Petoulette,7,0,0.0,5,0.7142857142857143,1,0.14285714285714285,0,0.0,0,0.0,1,0.14285714285714285,1,0.14285714285714285
7,8,DATA/Merged Interactions/08_Petoulette.Pipo_01.02.23_matin.UNI,Petoulette,Pipo,5,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,9,DATA/Merged Interactions/09_Nekketsu.Feya_15.03.23_aprem_UNI,Nekketsu,Feya,5,5,1.0,0,0.0,3,0.6,0,0.0,3,0.6,0,0.0,3,0.6
9,10,DATA/Merged Interactions/10_Fana.Mali_15.03.23_aprem_UNI,Fana,Mali,5,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
