,D$,S$,s$,z$,cB,Ce,cr,ct,Cg,ca,cl,cK,cq,cm,Cc,Total number,Total units
Lome,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Nekketsu,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,5,5
Lips,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3
Pipo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Bobo,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1
Mako,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3
Angele,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,4
Violette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Muse,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,6,3
Fana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Petoulette,0,0,0,0,0,0,0,0,1,2,0,0,2,1,1,7,5
Feya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Mali,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3
